timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz],,,,,,
17:32.3, NVIDIA GeForce RTX 4060 Laptop GPU,91%,27%, 789 MiB, 8188 MiB,81.28,82, 2310 MHz, 8001 MHz,,,,,,
17:33.4, NVIDIA GeForce RTX 4060 Laptop GPU,92%,28%, 789 MiB, 8188 MiB,84.14,82, 2310 MHz, 8001 MHz,,,,,,
17:34.4, NVIDIA GeForce RTX 4060 Laptop GPU,91%,29%, 789 MiB, 8188 MiB,79.79,82, 2310 MHz, 8001 MHz,,,,,,
17:35.4, NVIDIA GeForce RTX 4060 Laptop GPU,91%,29%, 788 MiB, 8188 MiB,83.39,83, 2295 MHz, 8001 MHz,,,,,,
17:36.4, NVIDIA GeForce RTX 4060 Laptop GPU,91%,31%, 788 MiB, 8188 MiB,83.32,82, 2280 MHz, 8001 MHz,,,,,,
17:37.4, NVIDIA GeForce RTX 4060 Laptop GPU,79%,29%, 788 MiB, 8188 MiB,81.65,82, 2415 MHz, 8001 MHz,,,,,,
17:38.4, NVIDIA GeForce RTX 4060 Laptop GPU,76%,29%, 788 MiB, 8188 MiB,82.09,82, 2445 MHz, 8001 MHz,,,,,,
17:39.4, NVIDIA GeForce RTX 4060 Laptop GPU,79%,30%, 788 MiB, 8188 MiB,83.25,82, 2400 MHz, 8001 MHz,,,,,,
17:40.4, NVIDIA GeForce RTX 4060 Laptop GPU,79%,28%, 792 MiB, 8188 MiB,82.85,82, 2445 MHz, 8001 MHz,,,,,,
17:41.4, NVIDIA GeForce RTX 4060 Laptop GPU,73%,22%, 788 MiB, 8188 MiB,76.07,82, 2475 MHz, 8001 MHz,,,,,,
17:42.4, NVIDIA GeForce RTX 4060 Laptop GPU,86%,28%, 777 MiB, 8188 MiB,82.64,82, 2370 MHz, 8001 MHz,,,,,,
17:43.4, NVIDIA GeForce RTX 4060 Laptop GPU,85%,28%, 777 MiB, 8188 MiB,82.12,82, 2370 MHz, 8001 MHz,,,,,,
17:44.4, NVIDIA GeForce RTX 4060 Laptop GPU,86%,29%, 777 MiB, 8188 MiB,82.91,82, 2370 MHz, 8001 MHz,,,,,,
17:45.4, NVIDIA GeForce RTX 4060 Laptop GPU,85%,29%, 777 MiB, 8188 MiB,82.84,82, 2355 MHz, 8001 MHz,,,,,,
17:46.5, NVIDIA GeForce RTX 4060 Laptop GPU,92%,30%, 777 MiB, 8188 MiB,80.46,82, 2205 MHz, 8001 MHz,,,,,,
17:47.5, NVIDIA GeForce RTX 4060 Laptop GPU,87%,29%, 777 MiB, 8188 MiB,80.26,82, 2325 MHz, 8001 MHz,,,,,,
17:48.5, NVIDIA GeForce RTX 4060 Laptop GPU,84%,28%, 777 MiB, 8188 MiB,82.46,82, 2370 MHz, 8001 MHz,,,,,,
17:49.5, NVIDIA GeForce RTX 4060 Laptop GPU,74%,25%, 777 MiB, 8188 MiB,84.69,83, 2445 MHz, 8001 MHz,,,,,,
17:50.5, NVIDIA GeForce RTX 4060 Laptop GPU,88%,28%, 777 MiB, 8188 MiB,82.43,82, 2340 MHz, 8001 MHz,,,,,,
17:51.5, NVIDIA GeForce RTX 4060 Laptop GPU,89%,27%, 777 MiB, 8188 MiB,83.88,82, 2280 MHz, 8001 MHz,,,,,,
17:52.5, NVIDIA GeForce RTX 4060 Laptop GPU,88%,26%, 777 MiB, 8188 MiB,82.96,82, 2340 MHz, 8001 MHz,,,,,,
17:53.5, NVIDIA GeForce RTX 4060 Laptop GPU,85%,23%, 782 MiB, 8188 MiB,82.29,83, 2445 MHz, 8001 MHz,,,,,,
17:54.5, NVIDIA GeForce RTX 4060 Laptop GPU,86%,24%, 782 MiB, 8188 MiB,82.35,83, 2445 MHz, 8001 MHz,,,,,,
17:55.5, NVIDIA GeForce RTX 4060 Laptop GPU,84%,23%, 782 MiB, 8188 MiB,83.06,83, 2385 MHz, 8001 MHz,,,,,,
17:56.5, NVIDIA GeForce RTX 4060 Laptop GPU,88%,24%, 786 MiB, 8188 MiB,82.72,83, 2370 MHz, 8001 MHz,,,,,,
17:57.5, NVIDIA GeForce RTX 4060 Laptop GPU,88%,24%, 786 MiB, 8188 MiB,84.55,83, 2340 MHz, 8001 MHz,,,,,,
17:58.5, NVIDIA GeForce RTX 4060 Laptop GPU,89%,26%, 786 MiB, 8188 MiB,86.83,83, 2310 MHz, 8001 MHz,,,,,,
17:59.6, NVIDIA GeForce RTX 4060 Laptop GPU,86%,25%, 786 MiB, 8188 MiB,81.53,83, 2460 MHz, 8001 MHz,,,,,,
18:00.6, NVIDIA GeForce RTX 4060 Laptop GPU,93%,26%, 786 MiB, 8188 MiB,78.81,82, 2250 MHz, 8001 MHz,,,,,,
18:01.6, NVIDIA GeForce RTX 4060 Laptop GPU,94%,27%, 786 MiB, 8188 MiB,82.17,82, 2250 MHz, 8001 MHz,,,,,,
18:02.6, NVIDIA GeForce RTX 4060 Laptop GPU,94%,28%, 786 MiB, 8188 MiB,83.11,83, 2250 MHz, 8001 MHz,,,,,,
18:03.6, NVIDIA GeForce RTX 4060 Laptop GPU,92%,26%, 788 MiB, 8188 MiB,88.28,84, 2370 MHz, 8001 MHz,,,,,,
18:04.6, NVIDIA GeForce RTX 4060 Laptop GPU,79%,25%, 783 MiB, 8188 MiB,83.86,82, 2475 MHz, 8001 MHz,,,,,,
18:05.6, NVIDIA GeForce RTX 4060 Laptop GPU,80%,26%, 783 MiB, 8188 MiB,84.07,83, 2475 MHz, 8001 MHz,,,,,,
18:06.6, NVIDIA GeForce RTX 4060 Laptop GPU,76%,25%, 783 MiB, 8188 MiB,81.5,82, 2475 MHz, 8001 MHz,,,,,,
18:07.6, NVIDIA GeForce RTX 4060 Laptop GPU,75%,26%, 783 MiB, 8188 MiB,80.97,82, 2475 MHz, 8001 MHz,,,,,,
18:08.6, NVIDIA GeForce RTX 4060 Laptop GPU,74%,24%, 783 MiB, 8188 MiB,78.78,81, 2475 MHz, 8001 MHz,,,,,,
18:09.6, NVIDIA GeForce RTX 4060 Laptop GPU,71%,21%, 781 MiB, 8188 MiB,73.24,81, 2475 MHz, 8001 MHz,,,,,,
18:10.6, NVIDIA GeForce RTX 4060 Laptop GPU,97%,32%, 781 MiB, 8188 MiB,82.96,82, 2265 MHz, 8001 MHz,,,,,,
18:11.6, NVIDIA GeForce RTX 4060 Laptop GPU,96%,32%, 781 MiB, 8188 MiB,86.31,83, 2310 MHz, 8001 MHz,,,,,,
18:12.6, NVIDIA GeForce RTX 4060 Laptop GPU,97%,33%, 781 MiB, 8188 MiB,91.09,84, 2310 MHz, 8001 MHz,,,,,,
18:13.6, NVIDIA GeForce RTX 4060 Laptop GPU,95%,33%, 781 MiB, 8188 MiB,92.4,84, 2400 MHz, 8001 MHz,,,,,,
18:14.6, NVIDIA GeForce RTX 4060 Laptop GPU,95%,33%, 781 MiB, 8188 MiB,90.34,85, 2400 MHz, 8001 MHz,,,,,,
18:15.7, NVIDIA GeForce RTX 4060 Laptop GPU,97%,34%, 781 MiB, 8188 MiB,95.22,85, 2385 MHz, 8001 MHz,,,,,,
18:16.7, NVIDIA GeForce RTX 4060 Laptop GPU,99%,35%, 781 MiB, 8188 MiB,95.06,85, 2370 MHz, 8001 MHz,,,,,,
18:17.7, NVIDIA GeForce RTX 4060 Laptop GPU,97%,34%, 781 MiB, 8188 MiB,94.91,85, 2370 MHz, 8001 MHz,,,,,,
18:18.7, NVIDIA GeForce RTX 4060 Laptop GPU,98%,35%, 781 MiB, 8188 MiB,94.99,85, 2385 MHz, 8001 MHz,,,,,,
18:19.7, NVIDIA GeForce RTX 4060 Laptop GPU,96%,34%, 775 MiB, 8188 MiB,96.13,85, 2385 MHz, 8001 MHz,,,,,,
18:20.7, NVIDIA GeForce RTX 4060 Laptop GPU,98%,33%, 780 MiB, 8188 MiB,95.02,85, 2385 MHz, 8001 MHz,,,,,,
18:21.7, NVIDIA GeForce RTX 4060 Laptop GPU,86%,25%, 780 MiB, 8188 MiB,89.59,84, 2475 MHz, 8001 MHz,,,,,,
18:22.7, NVIDIA GeForce RTX 4060 Laptop GPU,95%,27%, 780 MiB, 8188 MiB,83.91,83, 2340 MHz, 8001 MHz,,,,,,
