timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 20:46:21.479, 79, 93.48 W, 95 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000004
2026/05/01 20:46:21.981, 79, 91.22 W, 91 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:22.483, 79, 94.36 W, 95 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:46:22.991, 79, 93.72 W, 95 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:46:23.493, 80, 94.51 W, 95 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:46:24.002, 80, 94.44 W, 91 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:46:24.502, 80, 94.64 W, 95 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:46:25.003, 80, 94.42 W, 95 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:46:25.512, 80, 93.16 W, 95 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:46:26.021, 79, 92.19 W, 88 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:46:26.521, 80, 92.21 W, 93 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:46:27.023, 80, 92.81 W, 93 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:46:27.538, 80, 89.58 W, 95 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:46:28.051, 80, 89.99 W, 93 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:46:28.566, 77, 67.07 W, 29 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:46:29.068, 80, 94.67 W, 92 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000004
2026/05/01 20:46:29.571, 80, 89.92 W, 90 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:46:30.084, 80, 90.43 W, 90 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:46:30.585, 81, 94.84 W, 92 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:46:31.093, 81, 94.24 W, 91 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:46:31.593, 82, 94.89 W, 93 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:46:32.103, 82, 94.89 W, 93 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:46:32.613, 82, 94.87 W, 95 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:46:33.113, 82, 94.58 W, 90 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:46:33.615, 82, 94.76 W, 95 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000004
2026/05/01 20:46:34.128, 75, 90.38 W, 65 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
